https://igo04931.sprint.dynatracelabs.com
Host,Entity Id,Path,Size,AvailableForAnalysis
ip-10-176-32-134.ec2.internal,HOST-E738E4D3A3844853,/var/log/messages,3657037,True
ip-10-176-32-142,HOST-B519CA6165FDEBA4,/var/log/syslog,12329,True
ip-10-176-32-183,HOST-617B91CB3BAD5BA0,/var/log/syslog,12012,True
ip-10-176-32-190.ec2.internal,HOST-2DE97C72DB244314,/var/log/messages,3525803,True
ip-10-176-34-164.ec2.internal,HOST-8501061C4AC3C8E6,/var/log/messages,6222445,True
ip-10-176-34-250,HOST-249ADDB362ECFC27,/var/log/syslog,9851,True
ip-10-176-34-52.ec2.internal,HOST-1BAA0082291AEE43,/var/log/messages,4203992,True
ip-10-176-39-167,HOST-439273905C17B61C,/var/log/messages,797276,True
ip-10-176-39-200,HOST-F13C69F94E01FE34,/var/log/messages,792633,True
ip-10-176-39-214,HOST-AF9BC9CB4C0D65EA,/var/log/messages,798155,True
ip-10-176-40-46.eu-west-1.compute.internal,HOST-09CD59214904655C,/var/log/messages,4188130,True
ip-10-176-42-133,HOST-28F6B8B81529D7CE,/var/log/messages,798072,True
ip-10-176-42-147,HOST-E2DF6C30A977DBA1,/var/log/messages,800329,True
ip-10-176-42-79,HOST-450BDD9B18112A5F,/var/log/messages,786534,True
ip-172-31-2-190,HOST-66CB94D34415FC95,/var/log/syslog,12161,True
ip-172-31-37-68,HOST-BD32DC65930F5506,/var/log/syslog,12086,True
ls-ub-lf4008ev.dynatrace.vmta,HOST-9C93FA1B5D0E7B57,/var/log/syslog,23809,True
opc-AppE-1R8FWKAWZMEWM,HOST-32E12A9D0AFF5CE5,/var/log/messages,347417,True
opc-AppE-1R8FWKAWZMEWM,HOST-9F0935C6941709C8,/var/log/messages,351128,True
opcsvc-sprint,HOST-AFC0397F66EA3F16,/var/log/messages,5770902,True
opcsvc-sprint,HOST-7BE6AF0254C9938D,/var/log/messages,5762254,True
opcsvc-sprint,HOST-53D5EE6A8162304C,/var/log/messages,5785055,True
opcsvc-sprint,HOST-CE65C22D0D0B82E1,/var/log/messages,5783112,True
vmware-demo1ag,HOST-A35BBCEF9A858B08,/var/log/syslog,382148,True
vmware-demo2ag,HOST-864068828671262E,/var/log/syslog,374026,True
